date,precio,vol_30d,cum_ret_60d,dist_sma200,drawdown,fg,cluster_km,estado_hmm,estado_hmm_causal
2024-11-24,3363.659912109375,3.93813560780868,29.87162782641587,13.49705644280399,-30.09977519379452,80.0,1,2,1
2024-11-25,3413.5439453125,3.936809382818945,29.30722232169506,15.106935898963503,-29.063134978597493,82.0,1,2,1
2024-11-26,3326.517333984375,3.9941917134301232,24.33771698747731,12.09358311050277,-30.871635200055202,79.0,1,2,1
2024-11-27,3657.249267578125,4.3090734844707335,34.96109730708507,23.083619659002718,-23.998694084466454,75.0,1,2,1
2024-11-28,3579.8115234375,4.342076240797437,33.52315564188285,20.345619703041827,-25.60792803360272,77.0,1,2,1
2024-11-29,3593.494384765625,4.343609269453124,36.0218448291925,20.67495088816549,-25.323584459097802,78.0,1,2,1
2024-11-30,3705.705322265625,4.183530039036855,45.066005918976074,24.271112577945054,-22.991728694272183,84.0,1,2,1
2024-12-01,3711.1650390625,4.180058681306741,48.630739546726616,24.313691113763134,-22.87827030625089,81.0,1,2,1
2024-12-02,3644.198486328125,4.2016636519472454,47.479086158543225,21.927740200449854,-24.2699024013321,80.0,1,2,1
2024-12-03,3620.711669921875,4.187012345988494,44.06826988876582,21.035292696163776,-24.757981990136123,76.0,1,2,1
2024-12-04,3841.3310546875,4.208869334568565,50.12683190913425,28.256287528732194,-20.17329001928433,78.0,1,2,1
2024-12-05,3811.00830078125,4.2315857695321,48.33042915631087,27.087033224081058,-20.803427241885085,84.0,1,2,1
2024-12-06,4005.810546875,3.7703971977650874,54.18631785215827,33.507051167527344,-16.755241292501232,72.0,1,2,1
2024-12-07,4002.692626953125,3.660844917142151,53.36340840699603,33.3557174243921,-16.820034793973303,75.0,1,2,1
2024-12-08,4005.70458984375,3.6591930801348336,56.371527381882736,33.39640367350556,-16.757443185825082,79.0,1,2,1
2024-12-09,3718.6904296875,3.847356070581772,48.548765276429855,23.85038029119699,-22.721885145388377,78.0,1,2,1
2024-12-10,3631.833740234375,3.8770347368447817,44.004249545839514,20.97679096391989,-24.526854219948845,78.0,1,2,1
2024-12-11,3832.822021484375,3.86717488917834,47.89623027748829,27.653962282910282,-20.3501162589528,74.0,1,2,1
2024-12-12,3883.1015625,3.7826925750586518,49.5652474968358,29.316227607738,-19.305256994943253,83.0,1,2,1
2024-12-13,3911.205322265625,3.7572405041312136,43.755605176698076,30.247983823793014,-18.721232694970304,76.0,1,2,1
2024-12-14,3868.4052734375,3.658397132863066,43.531559377994135,28.816651563373675,-19.61066061365854,83.0,1,2,1
2024-12-15,3951.941162109375,3.664751109949402,45.49606320183408,31.557027105106172,-17.87470110820175,80.0,1,2,1
2024-12-16,3987.48095703125,3.6647050064442697,46.6568851666441,32.68697507137317,-17.136148543579477,83.0,1,2,1
2024-12-17,3886.76611328125,3.6843121258079043,42.699661437147284,29.308332024159945,-19.229103956254367,87.0,1,2,1
2024-12-18,3618.791259765625,3.884113302731764,35.53615539763753,20.432056467671146,-24.797890038259162,81.0,1,2,1
2024-12-19,3417.927978515625,3.989057394124123,26.29666527581569,13.816141332352583,-28.972030373951497,75.0,1,2,1
2024-12-20,3472.553466796875,3.9824336104770457,30.831547605783783,15.69175653596282,-27.83685796925568,74.0,1,2,1
2024-12-21,3337.222412109375,3.6845910141025966,28.641795482065415,11.271159059133517,-30.649172945529525,73.0,2,2,1
2024-12-22,3277.53515625,3.6961717121183963,31.09335071953278,9.38803715801846,-31.889533954564897,73.0,2,2,1
2024-12-23,3415.785400390625,3.760024699026195,34.29916499998683,14.077503079632603,-29.016555295172928,70.0,1,2,1
2024-12-24,3492.0498046875,3.7745374111225756,40.42078319009769,16.660863924627733,-27.43170452418049,73.0,1,2,1
2024-12-25,3493.2353515625,3.7667280627305506,38.66202489848106,16.73707356910812,-27.407067671690598,73.0,1,2,1
2024-12-26,3331.225830078125,3.8368851484828097,32.96205572924505,11.392770599513158,-30.773787931290787,79.0,1,2,1
2024-12-27,3328.9169921875,3.35412196614935,30.522081283913124,11.37847033792394,-30.821767897105623,74.0,2,2,1
2024-12-28,3397.90234375,3.361261405078867,29.763996745969624,13.705676432540193,-29.388183138672098,72.0,2,2,1
2024-12-29,3349.513427734375,3.3681512393496136,27.603927179877896,12.125831185953185,-30.393753319963,73.0,2,2,1
2024-12-30,3356.392578125,3.3111783366274214,33.13686947568409,12.37734610400798,-30.2507976789812,65.0,2,2,1
